tc	idx	sha	date	bench	mbs	cb	ib	subject
clangpaper	043	30d720431290	2026-04-15T12:52:31-04:00	parsing_citm	2297.41	1.5	6.14	pedantic guard
clangpaper	044	2e7ad956eb6d	2026-04-15T12:52:47-04:00	serialization_twitter	4673.78	0.74	3.27	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	044	2e7ad956eb6d	2026-04-15T12:52:47-04:00	serialization_citm	3200.62	1.08	5.37	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	044	2e7ad956eb6d	2026-04-15T12:52:47-04:00	parsing_twitter	4779.42	0.72	2.6	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	044	2e7ad956eb6d	2026-04-15T12:52:47-04:00	parsing_citm	2295.7	1.5	6.14	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	045	df16e967678b	2026-04-17T14:20:57-04:00	serialization_twitter	4667.2	0.74	3.27	fix: ondemand for wildcard matches  (#2686)
clangpaper	045	df16e967678b	2026-04-17T14:20:57-04:00	serialization_citm	3170.74	1.09	5.37	fix: ondemand for wildcard matches  (#2686)
clangpaper	045	df16e967678b	2026-04-17T14:20:57-04:00	parsing_twitter	4776.73	0.72	2.6	fix: ondemand for wildcard matches  (#2686)
clangpaper	045	df16e967678b	2026-04-17T14:20:57-04:00	parsing_citm	2322.33	1.5	6.14	fix: ondemand for wildcard matches  (#2686)
clangpaper	046	3b782fab7a58	2026-04-20T12:09:39-04:00	serialization_twitter	4687.6	0.75	3.27	fixes 2690 (typo)
clangpaper	046	3b782fab7a58	2026-04-20T12:09:39-04:00	serialization_citm	3197.58	1.09	5.37	fixes 2690 (typo)
clangpaper	046	3b782fab7a58	2026-04-20T12:09:39-04:00	parsing_twitter	4769.37	0.72	2.6	fixes 2690 (typo)
clangpaper	046	3b782fab7a58	2026-04-20T12:09:39-04:00	parsing_citm	2307.2	1.5	6.14	fixes 2690 (typo)
clangpaper	047	63b10bca2131	2026-04-20T17:16:50-04:00	serialization_twitter	4627.44	0.75	3.27	new optimization to the ARM NEON kernel (#2692)
clangpaper	047	63b10bca2131	2026-04-20T17:16:50-04:00	serialization_citm	3182.5	1.08	5.37	new optimization to the ARM NEON kernel (#2692)
